# 46<log(Lx)<46.75, 46.75<log(Lx)<47.5, 47.5<log(Lx)<48.5, 46<log(Lx)<48.5, L_x, Z_list
2.331272970009895289e+03,3.162955838334650593e+01,4.336288112780927184e-01,2.363336157204520077e+03,1.401085525598007267e+48,7.728686868686868827e+00
1.971755067042353858e+03,2.675179732831149337e+01,3.667566247505983368e-01,1.998873620995416104e+03,1.484968262254457449e+48,7.819494949494949054e+00
1.663677264242670844e+03,2.257195010509066435e+01,3.094525624945920761e-01,1.686558666910256306e+03,1.573873043161897938e+48,7.910303030303030170e+00
1.400421679178204840e+03,1.900022855868443372e+01,2.604856642023942737e-01,1.419682393401091758e+03,1.668100537200055881e+48,8.001111111111111285e+00
1.176085918667505894e+03,1.595655193830343244e+01,2.187580542618879353e-01,1.192261228660071083e+03,1.767969414240030039e+48,8.091919191919192400e+00
9.854308055538526787e+02,1.336983768009007534e+01,1.832952186664432714e-01,9.989839384526092090e+02,1.873817422860386679e+48,8.182727272727273515e+00
8.238269590319223425e+02,1.117727663541881888e+01,1.532360686798262817e-01,8.351574717360209661e+02,1.986002532585918136e+48,8.273535353535352854e+00
6.872015452557229764e+02,9.323610609485902145e+00,1.278230361742859200e-01,6.966529789013831078e+02,2.104904144512030352e+48,8.364343434343433970e+00
5.719862339308642731e+02,7.760426262099207939e+00,1.063923932879558831e-01,5.798530525862514651e+02,2.230924374408997115e+48,8.455151515151515085e+00
4.750671493973796373e+02,6.445476068729355745e+00,8.836494306781368657e-02,4.816009904091768021e+02,2.364489412645387960e+48,8.545959595959596200e+00
3.937373909911382270e+02,5.342034140261088027e+00,7.323718801170681081e-02,3.991526623194110357e+02,2.506050965530064715e+48,8.636767676767677315e+00
3.256525158849132708e+02,4.418292236203398282e+00,6.057304964690427007e-02,3.301313811707635750e+02,2.656087782946672998e+48,8.727575757575758431e+00
2.687892260951050503e+02,3.646799250434228146e+00,4.999618410000437191e-02,2.724860215296392880e+02,2.815107277447721137e+48,8.818383838383837769e+00
2.214073773660256563e+02,3.003945766536576745e+00,4.118291555322342590e-02,2.244525060481154810e+02,2.983647240283334037e+48,8.909191919191918885e+00
1.820153284102151474e+02,2.469493933432635568e+00,3.385579102415375852e-02,1.845186781346719442e+02,3.162277660168379267e+48,9.000000000000000000e+00
